client_id,age,job,marital,education,credit_default,mortgage,month,day,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,cons_price_idx,euribor_three_months,campaign_outcome,date_column
0,56.0,housemaid,married,basic.4y,no,no,may,13.0,261.0,1.0,0.0,nonexistent,93.994,4.857,no,2024-05-13
1,57.0,services,married,high.school,unknown,no,may,19.0,149.0,1.0,0.0,nonexistent,93.994,4.857,no,2024-05-19
2,37.0,services,married,high.school,no,yes,may,23.0,226.0,1.0,0.0,nonexistent,93.994,4.857,no,2024-05-23
3,40.0,admin.,married,basic.6y,no,no,may,27.0,151.0,1.0,0.0,nonexistent,93.994,4.857,no,2024-05-27
4,56.0,services,married,high.school,no,no,may,3.0,307.0,1.0,0.0,nonexistent,93.994,4.857,no,2024-05-03
5,45.0,services,married,basic.9y,unknown,no,may,5.0,198.0,1.0,0.0,nonexistent,93.994,4.857,no,2024-05-05
6,59.0,admin.,married,professional.course,no,no,may,3.0,139.0,1.0,0.0,nonexistent,93.994,4.857,no,2024-05-03
7,41.0,blue-collar,married,unknown,unknown,no,may,12.0,217.0,1.0,0.0,nonexistent,93.994,4.857,no,2024-05-12
8,24.0,technician,single,professional.course,no,yes,may,21.0,380.0,1.0,0.0,nonexistent,93.994,4.857,no,2024-05-21
9,25.0,services,single,high.school,no,yes,may,5.0,50.0,1.0,0.0,nonexistent,93.994,4.857,no,2024-05-05
10,41.0,blue-collar,married,unknown,unknown,no,may,8.0,55.0,1.0,0.0,nonexistent,93.994,4.857,no,2024-05-08
11,25.0,services,single,high.school,no,yes,may,9.0,222.0,1.0,0.0,nonexistent,93.994,4.857,no,2024-05-09
12,29.0,blue-collar,single,high.school,no,no,may,29.0,137.0,1.0,0.0,nonexistent,93.994,4.857,no,2024-05-29
13,57.0,housemaid,divorced,basic.4y,no,yes,may,14.0,293.0,1.0,0.0,nonexistent,93.994,4.857,no,2024-05-14
14,35.0,blue-collar,married,basic.6y,no,yes,may,29.0,146.0,1.0,0.0,nonexistent,93.994,4.857,no,2024-05-29
15,54.0,retired,married,basic.9y,unknown,yes,may,29.0,174.0,1.0,0.0,nonexistent,93.994,4.857,no,2024-05-29
