client_id,age,job,marital,education,credit_default,mortgage,month,day,contact_duration,number_contacts,previous_campaign_contacts,previous_outcome,cons_price_idx,euribor_three_months,campaign_outcome,date_column
75,41.0,blue-collar,divorced,basic.4y,unknown,yes,may,20.0,1575.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-20
83,49.0,entrepreneur,married,university.degree,unknown,yes,may,6.0,1042.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-06
88,49.0,technician,married,basic.9y,no,no,may,19.0,1467.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-19
129,41.0,technician,married,professional.course,unknown,yes,may,12.0,579.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-12
139,45.0,blue-collar,married,basic.9y,unknown,yes,may,27.0,461.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-27
182,42.0,blue-collar,married,basic.9y,no,yes,may,20.0,673.0,2.0,0.0,nonexistent,93.994,4.857,yes,2024-05-20
286,39.0,housemaid,married,basic.9y,no,yes,may,31.0,935.0,3.0,0.0,nonexistent,93.994,4.857,yes,2024-05-31
388,28.0,unknown,single,unknown,unknown,yes,may,2.0,1201.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-02
389,44.0,services,married,high.school,no,yes,may,10.0,1030.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-10
446,42.0,technician,married,professional.course,no,no,may,29.0,1623.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-29
469,42.0,management,married,university.degree,no,no,may,18.0,1677.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-18
504,39.0,services,married,high.school,unknown,yes,may,31.0,918.0,1.0,0.0,nonexistent,93.994,4.857,yes,2024-05-31
556,42.0,blue-collar,married,high.school,no,no,may,2.0,1297.0,3.0,0.0,nonexistent,93.994,4.857,yes,2024-05-02
681,45.0,housemaid,married,professional.course,unknown,yes,may,24.0,1597.0,2.0,0.0,nonexistent,93.994,4.857,yes,2024-05-24
820,31.0,admin.,single,university.degree,no,no,may,6.0,992.0,1.0,0.0,nonexistent,93.994,4.856,yes,2024-05-06
832,28.0,student,single,basic.9y,unknown,yes,may,9.0,732.0,2.0,0.0,nonexistent,93.994,4.856,yes,2024-05-09
856,41.0,entrepreneur,married,university.degree,no,yes,may,19.0,1138.0,1.0,0.0,nonexistent,93.994,4.856,yes,2024-05-19
870,37.0,blue-collar,single,basic.9y,unknown,yes,may,18.0,591.0,1.0,0.0,nonexistent,93.994,4.856,yes,2024-05-18
876,44.0,blue-collar,married,basic.4y,no,yes,may,11.0,786.0,1.0,0.0,nonexistent,93.994,4.856,yes,2024-05-11
1078,44.0,entrepreneur,married,basic.4y,unknown,no,may,1.0,1574.0,2.0,0.0,nonexistent,93.994,4.856,yes,2024-05-01
1114,54.0,admin.,divorced,university.degree,no,no,may,10.0,1689.0,4.0,0.0,nonexistent,93.994,4.856,yes,2024-05-10
1166,42.0,services,married,professional.course,no,yes,may,13.0,813.0,1.0,0.0,nonexistent,93.994,4.855,yes,2024-05-13
1189,46.0,blue-collar,single,basic.9y,no,yes,may,26.0,541.0,3.0,0.0,nonexistent,93.994,4.855,yes,2024-05-26
1233,32.0,blue-collar,married,professional.course,no,no,may,1.0,1119.0,1.0,0.0,nonexistent,93.994,4.855,yes,2024-05-01
1256,43.0,technician,single,university.degree,no,yes,may,31.0,1120.0,2.0,0.0,nonexistent,93.994,4.855,yes,2024-05-31
1319,54.0,admin.,married,university.degree,no,no,may,9.0,513.0,1.0,0.0,nonexistent,93.994,4.855,yes,2024-05-09
1348,50.0,technician,married,high.school,no,yes,may,12.0,756.0,1.0,0.0,nonexistent,93.994,4.855,yes,2024-05-12
1396,31.0,services,married,basic.6y,no,no,may,14.0,2087.0,2.0,0.0,nonexistent,93.994,4.855,yes,2024-05-14
1442,51.0,blue-collar,married,basic.9y,unknown,yes,may,8.0,1178.0,2.0,0.0,nonexistent,93.994,4.855,yes,2024-05-08
1444,31.0,entrepreneur,divorced,high.school,no,yes,may,31.0,1120.0,2.0,0.0,nonexistent,93.994,4.855,yes,2024-05-31
1501,41.0,services,divorced,high.school,no,yes,may,26.0,985.0,2.0,0.0,nonexistent,93.994,4.855,yes,2024-05-26
1608,32.0,unknown,unknown,university.degree,no,no,may,10.0,617.0,4.0,0.0,nonexistent,93.994,4.855,yes,2024-05-10
1613,33.0,services,married,high.school,unknown,no,may,26.0,483.0,3.0,0.0,nonexistent,93.994,4.855,yes,2024-05-26
1632,38.0,management,married,basic.9y,unknown,no,may,20.0,772.0,1.0,0.0,nonexistent,93.994,4.855,yes,2024-05-20
1636,60.0,housemaid,married,high.school,unknown,no,may,28.0,929.0,3.0,0.0,nonexistent,93.994,4.855,yes,2024-05-28
1655,35.0,blue-collar,married,professional.course,no,yes,may,14.0,710.0,1.0,0.0,nonexistent,93.994,4.855,yes,2024-05-14
1691,33.0,blue-collar,married,basic.6y,unknown,yes,may,17.0,1132.0,2.0,0.0,nonexistent,93.994,4.855,yes,2024-05-17
1725,51.0,blue-collar,married,basic.9y,no,no,may,7.0,653.0,1.0,0.0,nonexistent,93.994,4.855,yes,2024-05-07
1763,24.0,services,single,high.school,no,yes,may,1.0,654.0,1.0,0.0,nonexistent,93.994,4.855,yes,2024-05-01
1791,32.0,admin.,married,university.degree,no,no,may,21.0,1692.0,2.0,0.0,nonexistent,93.994,4.855,yes,2024-05-21
1809,43.0,admin.,married,university.degree,unknown,yes,may,1.0,2016.0,2.0,0.0,nonexistent,93.994,4.855,yes,2024-05-01
1819,44.0,blue-collar,single,basic.6y,unknown,yes,may,23.0,665.0,2.0,0.0,nonexistent,93.994,4.855,yes,2024-05-23
2002,59.0,management,married,university.degree,no,no,may,30.0,460.0,5.0,0.0,nonexistent,93.994,4.857,yes,2024-05-30
2039,24.0,services,single,high.school,no,no,may,10.0,757.0,2.0,0.0,nonexistent,93.994,4.857,yes,2024-05-10
2064,39.0,admin.,married,university.degree,no,no,may,14.0,744.0,6.0,0.0,nonexistent,93.994,4.857,yes,2024-05-14
2104,41.0,admin.,single,unknown,no,yes,may,8.0,1111.0,3.0,0.0,nonexistent,93.994,4.857,yes,2024-05-08
2257,39.0,blue-collar,married,basic.9y,unknown,no,may,5.0,504.0,4.0,0.0,nonexistent,93.994,4.856,yes,2024-05-05
2275,32.0,admin.,single,university.degree,unknown,no,may,15.0,1346.0,1.0,0.0,nonexistent,93.994,4.856,yes,2024-05-15
2305,33.0,management,married,basic.4y,no,yes,may,1.0,568.0,4.0,0.0,nonexistent,93.994,4.856,yes,2024-05-01
2315,38.0,management,married,basic.9y,no,yes,may,21.0,1000.0,1.0,0.0,nonexistent,93.994,4.856,yes,2024-05-21
2316,35.0,admin.,single,high.school,no,yes,may,31.0,618.0,1.0,0.0,nonexistent,93.994,4.856,yes,2024-05-31
2330,38.0,blue-collar,single,basic.9y,no,yes,may,25.0,2231.0,1.0,0.0,nonexistent,93.994,4.856,yes,2024-05-25
2406,38.0,blue-collar,single,university.degree,unknown,yes,may,9.0,395.0,2.0,0.0,nonexistent,93.994,4.856,yes,2024-05-09
2417,38.0,technician,single,university.degree,no,no,may,24.0,1015.0,1.0,0.0,nonexistent,93.994,4.856,yes,2024-05-24
2421,30.0,technician,married,university.degree,no,yes,may,12.0,683.0,2.0,0.0,nonexistent,93.994,4.856,yes,2024-05-12
2424,51.0,admin.,single,basic.6y,no,no,may,15.0,470.0,1.0,0.0,nonexistent,93.994,4.856,yes,2024-05-15
2444,31.0,services,married,basic.6y,unknown,no,may,16.0,1001.0,4.0,0.0,nonexistent,93.994,4.856,yes,2024-05-16
2449,45.0,technician,married,university.degree,no,yes,may,27.0,845.0,1.0,0.0,nonexistent,93.994,4.856,yes,2024-05-27
2473,36.0,admin.,married,high.school,no,no,may,10.0,753.0,6.0,0.0,nonexistent,93.994,4.856,yes,2024-05-10
2635,31.0,services,married,basic.9y,no,no,may,22.0,945.0,2.0,0.0,nonexistent,93.994,4.856,yes,2024-05-22
2645,45.0,entrepreneur,married,university.degree,no,yes,may,18.0,1721.0,2.0,0.0,nonexistent,93.994,4.856,yes,2024-05-18
2684,51.0,admin.,married,basic.4y,unknown,yes,may,23.0,942.0,3.0,0.0,nonexistent,93.994,4.859,yes,2024-05-23
2697,38.0,blue-collar,married,basic.6y,unknown,yes,may,7.0,476.0,1.0,0.0,nonexistent,93.994,4.859,yes,2024-05-07
2713,41.0,technician,married,high.school,no,yes,may,11.0,832.0,1.0,0.0,nonexistent,93.994,4.859,yes,2024-05-11
2744,27.0,admin.,single,high.school,no,yes,may,2.0,1328.0,1.0,0.0,nonexistent,93.994,4.859,yes,2024-05-02
2755,37.0,blue-collar,married,basic.4y,unknown,yes,may,11.0,1125.0,2.0,0.0,nonexistent,93.994,4.859,yes,2024-05-11
2763,33.0,unemployed,divorced,basic.9y,no,no,may,31.0,1321.0,2.0,0.0,nonexistent,93.994,4.859,yes,2024-05-31
2775,33.0,blue-collar,married,high.school,no,no,may,14.0,858.0,1.0,0.0,nonexistent,93.994,4.859,yes,2024-05-14
2779,35.0,student,married,university.degree,no,yes,may,16.0,629.0,2.0,0.0,nonexistent,93.994,4.859,yes,2024-05-16
2853,40.0,blue-collar,married,high.school,no,no,may,7.0,1028.0,2.0,0.0,nonexistent,93.994,4.859,yes,2024-05-07
2905,40.0,blue-collar,married,basic.6y,no,yes,may,3.0,927.0,1.0,0.0,nonexistent,93.994,4.859,yes,2024-05-03
3047,36.0,technician,married,professional.course,no,no,may,23.0,1423.0,3.0,0.0,nonexistent,93.994,4.859,yes,2024-05-23
3090,35.0,housemaid,married,basic.4y,no,no,may,12.0,646.0,3.0,0.0,nonexistent,93.994,4.86,yes,2024-05-12
3113,32.0,services,married,basic.9y,no,no,may,8.0,746.0,1.0,0.0,nonexistent,93.994,4.86,yes,2024-05-08
3174,42.0,services,divorced,basic.6y,no,yes,may,18.0,1074.0,1.0,0.0,nonexistent,93.994,4.86,yes,2024-05-18
3183,45.0,admin.,married,high.school,no,yes,may,10.0,695.0,1.0,0.0,nonexistent,93.994,4.86,yes,2024-05-10
3203,38.0,services,single,high.school,unknown,no,may,7.0,1257.0,3.0,0.0,nonexistent,93.994,4.86,yes,2024-05-07
3219,39.0,blue-collar,married,basic.9y,no,no,may,12.0,651.0,23.0,0.0,nonexistent,93.994,4.86,yes,2024-05-12
3223,45.0,self-employed,married,basic.6y,unknown,no,may,29.0,734.0,1.0,0.0,nonexistent,93.994,4.86,yes,2024-05-29
3259,49.0,blue-collar,divorced,basic.4y,unknown,no,may,27.0,920.0,2.0,0.0,nonexistent,93.994,4.86,yes,2024-05-27
3264,41.0,blue-collar,married,basic.9y,no,no,may,15.0,500.0,1.0,0.0,nonexistent,93.994,4.86,yes,2024-05-15
3338,30.0,admin.,married,university.degree,no,yes,may,14.0,911.0,2.0,0.0,nonexistent,93.994,4.86,yes,2024-05-14
3381,53.0,technician,married,professional.course,unknown,yes,may,9.0,920.0,2.0,0.0,nonexistent,93.994,4.86,yes,2024-05-09
3384,35.0,technician,married,unknown,unknown,no,may,27.0,1224.0,2.0,0.0,nonexistent,93.994,4.86,yes,2024-05-27
3395,51.0,management,married,university.degree,unknown,no,may,12.0,1156.0,2.0,0.0,nonexistent,93.994,4.86,yes,2024-05-12
3427,33.0,blue-collar,divorced,basic.9y,unknown,no,may,11.0,1867.0,6.0,0.0,nonexistent,93.994,4.86,yes,2024-05-11
3436,44.0,services,married,high.school,unknown,yes,may,10.0,1263.0,2.0,0.0,nonexistent,93.994,4.86,yes,2024-05-10
3453,50.0,blue-collar,married,basic.9y,no,yes,may,27.0,697.0,3.0,0.0,nonexistent,93.994,4.86,yes,2024-05-27
3506,30.0,admin.,single,high.school,no,no,may,1.0,892.0,4.0,0.0,nonexistent,93.994,4.86,yes,2024-05-01
3541,45.0,entrepreneur,married,university.degree,no,yes,may,31.0,515.0,1.0,0.0,nonexistent,93.994,4.859,yes,2024-05-31
3545,35.0,admin.,single,high.school,no,no,may,31.0,813.0,1.0,0.0,nonexistent,93.994,4.859,yes,2024-05-31
3564,29.0,blue-collar,single,high.school,no,yes,may,20.0,803.0,1.0,0.0,nonexistent,93.994,4.859,yes,2024-05-20
3566,44.0,management,single,university.degree,unknown,yes,may,5.0,844.0,1.0,0.0,nonexistent,93.994,4.859,yes,2024-05-05
3570,31.0,blue-collar,married,basic.6y,unknown,unknown,may,19.0,676.0,1.0,0.0,nonexistent,93.994,4.859,yes,2024-05-19
3574,56.0,blue-collar,married,basic.4y,unknown,yes,may,30.0,1252.0,1.0,0.0,nonexistent,93.994,4.859,yes,2024-05-30
3576,45.0,technician,married,university.degree,no,yes,may,26.0,1143.0,3.0,0.0,nonexistent,93.994,4.859,yes,2024-05-26
3608,26.0,blue-collar,single,basic.9y,no,no,may,10.0,688.0,1.0,0.0,nonexistent,93.994,4.859,yes,2024-05-10
3628,40.0,entrepreneur,married,university.degree,no,no,may,14.0,803.0,1.0,0.0,nonexistent,93.994,4.859,yes,2024-05-14
3661,49.0,admin.,divorced,high.school,no,yes,may,20.0,787.0,1.0,0.0,nonexistent,93.994,4.859,yes,2024-05-20
3677,26.0,admin.,single,high.school,no,no,may,9.0,619.0,2.0,0.0,nonexistent,93.994,4.859,yes,2024-05-09
3685,37.0,blue-collar,single,basic.9y,unknown,no,may,31.0,1230.0,3.0,0.0,nonexistent,93.994,4.859,yes,2024-05-31
3693,37.0,admin.,single,high.school,no,yes,may,29.0,912.0,1.0,0.0,nonexistent,93.994,4.859,yes,2024-05-29
3697,38.0,blue-collar,single,university.degree,unknown,no,may,19.0,894.0,1.0,0.0,nonexistent,93.994,4.859,yes,2024-05-19
3734,51.0,services,married,basic.6y,no,no,may,29.0,1340.0,1.0,0.0,nonexistent,93.994,4.859,yes,2024-05-29
3740,46.0,admin.,divorced,university.degree,no,no,may,21.0,897.0,1.0,0.0,nonexistent,93.994,4.859,yes,2024-05-21
3774,35.0,student,single,high.school,no,no,may,17.0,2680.0,1.0,0.0,nonexistent,93.994,4.859,yes,2024-05-17
3854,57.0,services,divorced,high.school,no,yes,may,8.0,1193.0,5.0,0.0,nonexistent,93.994,4.859,yes,2024-05-08
3887,28.0,blue-collar,married,basic.9y,no,no,may,14.0,1064.0,4.0,0.0,nonexistent,93.994,4.859,yes,2024-05-14
3939,47.0,management,married,basic.4y,unknown,no,may,2.0,882.0,1.0,0.0,nonexistent,93.994,4.858,yes,2024-05-02
3979,57.0,technician,married,professional.course,no,yes,may,7.0,483.0,2.0,0.0,nonexistent,93.994,4.858,yes,2024-05-07
3988,45.0,blue-collar,married,unknown,no,yes,may,2.0,943.0,2.0,0.0,nonexistent,93.994,4.858,yes,2024-05-02
4034,48.0,blue-collar,married,basic.9y,no,no,may,14.0,607.0,1.0,0.0,nonexistent,93.994,4.858,yes,2024-05-14
4050,28.0,services,married,high.school,no,no,may,8.0,1022.0,4.0,0.0,nonexistent,93.994,4.858,yes,2024-05-08
4110,38.0,services,married,high.school,no,yes,may,15.0,552.0,3.0,0.0,nonexistent,93.994,4.858,yes,2024-05-15
